title,channel_name,published_date,url,referrer
Kalman Lajko - Hyperchains and Hyperbridges: How the ZK Stack will power the Internet of Value,[EthCC] Livestream 6,2023-07-19,https://www.youtube.com/watch?v=2pNEYRdP750,
zkBob 🛠️ Integrating zkBob privacy into DeFi workflows - Kirill Fedoseev,ETHGlobal,2023-05-24,https://www.youtube.com/watch?v=VLoP_ky8sJg,
zkBob 🛠 Integrating zkBob privacy into DeFi workflows - Kirill Fedoseev,ETHGlobal,2023-05-05,https://www.youtube.com/watch?v=9nRaFUQBSEo,
Scroll 🛠 Scaling Ethereum with Rollups and Zero Knowledge Proofs,ETHGlobal,2023-03-17,https://www.youtube.com/watch?v=Qf1hOkRvDnI,
Spinamp 🛠 Building a Web3 Music Experience using the Spindex - Aidan Musnitzky,ETHGlobal,2022-08-06,https://www.youtube.com/watch?v=Y-6yuWkWDYw,
zkSync  zkSync 2.0 for Builders,ETHGlobal,2022-05-12,https://www.youtube.com/watch?v=3574Z4D0CxU,
"Odos  Intro to Semiotic AI: arbitrage, order routing, reinforcement learning, ZKPs",ETHGlobal,2022-05-10,https://www.youtube.com/watch?v=wfPiP8YvBAM,
zkSync 🛠 zkSync 2.0 for Builders,ETHGlobal,2022-04-30,https://www.youtube.com/watch?v=xd2siik0iBU,
'zkSync — zkPorter: Why Rollups Are Not Enough' - Alex Gluchowski,ETHGlobal,2021-04-20,https://www.youtube.com/watch?v=MstuXYewtXs,
Intro to Loopring's zkSNARK based DEX protocol,ETHGlobal,2019-06-25,https://www.youtube.com/watch?v=m8D7zDTyKNo,
ZK-based Improvements to Celestia - Nick White,Research Day,2023-05-27,https://www.youtube.com/watch?v=NCLuU-NS3IU,
Scaling Execution: Zero Knowledge panel (Modular Summit 2022),Celestia,2022-05-09,https://www.youtube.com/watch?v=Tm1gmELVUEY,
Proof Systems for zkRollups,Ethereum Foundation,2022-11-15,https://www.youtube.com/watch?v=2bb8wMEYCfA,
Penumbra: Building a Private DEX with ZKPs and Threshold Cryptography by Henry de Valence,Ethereum Foundation,2022-10-13,https://www.youtube.com/watch?v=JjmOelgfqNo,
Ethereum 9¾: MimbleWimble for ERC20 with zkSNARKS by Wanseob Lim,Ethereum Foundation,2019-12-04,https://www.youtube.com/watch?v=5LRh9iDb1sw,
"zkStudyClub - ProtoStar (Binyi Chen & Benedikt Bünz, Espresso Systems)",Zero Knowledge,2023-07-14,https://www.youtube.com/watch?v=wtxVYiZh7zc,
"ZK9: VampIR: LLVM for polynomial circuits, now with benchmarks! - Joshua Fitzgerald (Anoma)",Zero Knowledge,2023-04-17,https://www.youtube.com/watch?v=4k1ihE8j3pM,
ZK9: Taiga - a dark forest for composable private applications - Yulia Khalniyazova (Anoma),Zero Knowledge,2023-04-15,https://www.youtube.com/watch?v=72VsJj_c99M,
ZKV Presents... The Lab Unplugged: Interchain MEV,Zero Knowledge,2023-02-20,https://www.youtube.com/watch?v=N9FXRNqtGMI,
"Episode 260: ZK in 2023 with Kobi, Guillermo, and Tarun",Zero Knowledge,2023-01-18,https://www.youtube.com/watch?v=igrFylakNEY,
ZK HACK III - Evolution of the MASP circuit in Namada - Anoma - Part 2,Zero Knowledge,2022-11-30,https://www.youtube.com/watch?v=DFuocg8EPwU,
